76 Os 192 191.9614770(29)
77 Ir 191 190.9605893(21)
77 Ir 193 192.9629216(21)
78 Pt 190 189.9599297(63)
78 Pt 192 191.9610387(32)
78 Pt 194 193.9626809(10)
78 Pt 195 194.9647917(10)
78 Pt 196 195.96495209(99)
78 Pt 198 197.9678949(23)
79 Au 197 196.96656879(71)
80 Hg 196 195.9658326(32)
80 Hg 198 197.96676860(52)
80 Hg 199 198.96828064(46)
80 Hg 200 199.96832659(47)
80 Hg 201 200.97030284(69)
80 Hg 202 201.97064340(69)
80 Hg 204 203.97349398(53)
81 Tl 203 202.9723446(14)
81 Tl 205 204.9744278(14)
82 Pb 204 203.9730440(13)
82 Pb 206 205.9744657(13)
82 Pb 207 206.9758973(13)
82 Pb 208 207.9766525(13)
83 Bi 209 208.9803991(16)
84 Po 209 208.9824308(20)
84 Po 210 209.9828741(13)
85 At 210 209.9871479(83)
85 At 211 210.9874966(30)
86 Rn 211 210.9906011(73)
86 Rn 220 220.0113941(23)
86 Rn 222 222.0175782(25)
87 Fr 223 223.0197360(25)
88 Ra 223 223.0185023(27)
88 Ra 224 224.0202120(23)
88 Ra 226 226.0254103(25)
88 Ra 228 228.0310707(26)
89 Ac 227 227.0277523(25)
90 Th 230 230.0331341(19)
90 Th 232 232.0380558(21)
91 Pa 231 231.0358842(24)
92 U 233 233.0396355(29)
92 U 234 234.0409523(19)
92 U 235 235.0439301(19)
92 U 236 236.0455682(19)
92 U 238 238.0507884(20)
93 Np 236 236.046570(54)
93 Np 237 237.0481736(19)
94 Pu 238 238.0495601(19)
94 Pu 239 239.0521636(19)
94 Pu 240 240.0538138(19)
94 Pu 241 241.0568517(19)
94 Pu 242 242.0587428(20)
94 Pu 244 244.0642053(56)
95 Am 241 241.0568293(19)
95 Am 243 243.0613813(24)
96 Cm 243 243.0613893(22)
96 Cm 244 244.0627528(19)
96 Cm 245 245.0654915(22)
96 Cm 246 246.0672238(22)
96 Cm 247 247.0703541(47)
96 Cm 248 248.0723499(56)
97 Bk 247 247.0703073(59)
97 Bk 249 249.0749877(27)
98 Cf 249 249.0748539(23)
98 Cf 250 250.0764062(22)
98 Cf 251 251.0795886(48)
98 Cf 252 252.0816272(56)
99 Es 252 252.082980(54)
100 Fm 257 257.0951061(69)
101 Md 258 258.0984315(50)
101 Md 260 260.10365(34#)
102 No 259 259.10103(11#)
103 Lr 262 262.10961(22#)
104 Rf 267 267.12179(62#)
105 Db 268 268.12567(57#)
106 Sg 271 271.13393(63#)
107 Bh 272 272.13826(58#)
108 Hs 270 270.13429(27#)
109 Mt 276 276.15159(59#)
110 Ds 281 281.16451(59#)
111 Rg 280 280.16514(61#)
112 Cn 285 285.17712(60#)
113 Uut 284 284.17873(62#)
114 Fl 289 289.19042(60#)
115 Uup 288 288.19274(62#)
116 Lv 293 293.20449(60#)
117 Uus 292 292.20746(75#)
118 Uuo 294 294.21392(71#)
